file,line,col,receiver,method,migrated_pyside,reason
well_viewer/barplot_controller.py,15,7,debug_flags,review_bar_debug_enabled,true,Qt-safe/default
well_viewer/barplot_controller.py,28,8,grp_list,append,true,Qt-safe/default
well_viewer/barplot_controller.py,41,14,tok.strip(),upper,true,Qt-safe/default
well_viewer/barplot_controller.py,41,14,tok,strip,true,Qt-safe/default
well_viewer/barplot_controller.py,42,12,re,match,true,Qt-safe/default
well_viewer/barplot_controller.py,43,18,m.group(1),upper,true,Qt-safe/default
well_viewer/barplot_controller.py,43,18,m,group,true,Qt-safe/default
well_viewer/barplot_controller.py,43,42,m,group,true,Qt-safe/default
well_viewer/barplot_controller.py,53,20,data,get,true,Qt-safe/default
well_viewer/barplot_controller.py,54,56,item,get,true,Qt-safe/default
well_viewer/barplot_controller.py,55,12,rep_sets,append,true,Qt-safe/default
well_viewer/barplot_controller.py,55,41,item,get,true,Qt-safe/default
well_viewer/barplot_controller.py,57,20,data,get,true,Qt-safe/default
well_viewer/barplot_controller.py,58,27,item,get,true,Qt-safe/default
well_viewer/barplot_controller.py,58,66,item,get,true,Qt-safe/default
well_viewer/barplot_controller.py,59,25,item,get,true,Qt-safe/default
well_viewer/barplot_controller.py,61,20,grp.members,append,true,Qt-safe/default
well_viewer/barplot_controller.py,62,27,item,get,true,Qt-safe/default
well_viewer/barplot_controller.py,65,20,grp.solo_wells,append,true,Qt-safe/default
well_viewer/barplot_controller.py,66,12,bar_groups,append,true,Qt-safe/default
well_viewer/barplot_controller.py,69,23,item,get,true,Qt-safe/default
well_viewer/barplot_controller.py,70,26,item,get,true,Qt-safe/default
well_viewer/barplot_controller.py,72,25,item,get,true,Qt-safe/default
well_viewer/barplot_controller.py,73,24,rdata,get,true,Qt-safe/default
well_viewer/barplot_controller.py,74,61,rdata,get,true,Qt-safe/default
well_viewer/barplot_controller.py,76,16,rep_sets,append,true,Qt-safe/default
well_viewer/barplot_controller.py,77,16,grp.members,append,true,Qt-safe/default
well_viewer/barplot_controller.py,78,12,bar_groups,append,true,Qt-safe/default
well_viewer/barplot_controller.py,85,14,app._use_sem_cb,isChecked,true,Qt-safe/default
well_viewer/barplot_controller.py,87,16,app,_get_thresh_frac_on,true,Qt-safe/default
well_viewer/barplot_controller.py,88,19,app,_rep_sets_active,true,Qt-safe/default
well_viewer/barplot_controller.py,94,39,app,_compute_rep_stats,true,Qt-safe/default
well_viewer/barplot_controller.py,95,20,app,_replicate_display_label,true,Qt-safe/default
well_viewer/barplot_controller.py,96,12,items,append,true,Qt-safe/default
well_viewer/barplot_controller.py,96,63,math,isnan,true,Qt-safe/default
well_viewer/barplot_controller.py,101,24,app,_parse_rc,true,Qt-safe/default
well_viewer/barplot_controller.py,104,26,app,_get_cell_area_threshold,true,Qt-safe/default
well_viewer/barplot_controller.py,105,18,app,_get_all_fluor_gates,true,Qt-safe/default
well_viewer/barplot_controller.py,107,15,app,_get_rows,true,Qt-safe/default
well_viewer/barplot_controller.py,112,12,items,append,true,Qt-safe/default
well_viewer/barplot_controller.py,114,12,items,append,true,Qt-safe/default
